id,customer_id,product_id,amount,date
76,78-1174647,626142064-5,7714.8652,2004-02-25 11:32:56
77,19-7243108,500313266-2,54218.7781,2005-06-27 17:51:09
78,90-8370848,586151939-0,156230.7404,2015-01-22 18:33:39
79,46-9961736,386539260-1,117940.7193,2007-11-14 08:24:23
80,87-1650183,894668672-3,195926.819,2004-12-21 05:48:11
81,03-4522553,047375628-5,92084.2794,2004-12-03 19:20:23
82,28-0703884,020176166-1,13539.9801,2004-07-08 10:39:21
83,81-4155260,076845483-2,11639.9383,2004-09-20 14:40:16
84,92-2945223,179780542-8,72833.4931,2001-03-12 12:22:20
85,71-5989910,082195169-6,132372.5712,2011-11-07 23:34:10
86,35-6879447,081472558-9,25886.4168,1998-02-15 13:20:09
87,02-4530029,724306174-5,25167.0989,2015-06-04 00:23:48
88,02-3786037,258745288-0,3512.722,2016-08-27 07:10:38
89,39-6084794,984737695-6,11111.5668,2014-10-23 01:00:04
90,90-0608542,538031631-X,109478.1704,2006-03-16 14:32:57
91,08-1676398,896722103-7,48123.8728,2009-02-21 18:41:44
92,42-9709822,542238742-2,200471.1777,2015-07-22 01:08:13
93,15-0703985,838142661-8,264678.2712,2006-12-10 21:57:18
94,40-5226748,150106339-1,248356.0955,2004-12-04 04:07:39
95,73-3330768,820831519-2,51275.6686,2001-04-23 12:49:18
96,78-8436728,296406420-2,128364.8393,2001-02-06 10:14:17
97,36-1697173,215667691-7,45455.2605,2001-02-06 15:59:06
98,52-1636824,294216561-8,10450.3748,2009-01-01 07:58:53
99,68-2081152,367386941-8,10614.7383,1998-04-06 11:24:34
100,31-9530400,423389191-2,77230.2607,2008-02-27 21:30:27
101,02-2044914,524457038-2,94261.4916,2002-10-20 21:02:05
102,45-3169400,947954331-1,80312.0389,2010-07-17 19:00:36
103,93-8495870,552357224-1,183512.7421,2014-12-14 05:06:21
104,01-5879685,516076536-0,72673.8105,1997-10-17 17:35:43
105,76-2260696,542238742-2,205766.4989,2004-10-07 02:13:39
106,19-1477150,826904341-9,204074.2548,2000-05-05 04:02:51
107,83-1291808,613417310-X,239154.144,2002-07-23 00:38:15
108,75-3660592,933238465-7,50803.9223,2000-03-15 12:00:57
109,22-0766477,113237600-9,32485.3662,2008-05-11 04:36:44
110,99-3102630,488529001-5,9097.9839,2012-10-06 08:35:00
111,05-3659211,399740748-7,47866.2846,2006-09-29 01:21:52
112,82-4611048,834476117-4,228194.3555,2001-05-02 13:06:54
113,25-4605370,218784345-9,80862.9925,2005-08-10 05:44:22
114,17-0866090,909286270-3,33424.0982,2011-09-07 02:04:20
115,84-2646381,707514261-5,113049.0376,2014-12-11 22:17:53
116,67-2051868,284253286-4,34948.6075,2002-10-07 09:14:11
117,57-2431448,350011858-5,26155.2836,2004-12-25 20:56:07
118,56-9823737,894668672-3,201681.09,2015-10-28 11:57:12
119,89-9226040,436228036-7,25465.6802,2006-02-17 13:47:56
120,13-6706346,885314855-1,207631.1778,1999-11-23 18:03:50
121,94-1871455,157817377-9,38575.1698,2002-04-16 10:32:48
122,82-7934631,357530990-6,104851.6503,2010-02-25 22:31:08
123,96-8977883,215667691-7,85981.7792,2006-07-07 19:39:42
124,00-5211258,618484294-3,80486.8685,2015-12-03 01:57:56
125,63-4795655,638172114-6,78031.3425,2011-03-04 23:30:13
126,08-0478821,282931504-9,144955.4849,2004-05-26 22:20:17
127,61-4183580,632403842-4,11308.894,2012-11-04 15:42:33
128,49-4973890,741368480-2,146784.5587,2010-10-25 04:45:03
129,74-5676221,965968187-9,25896.4693,2010-02-04 03:21:41
130,26-1097766,443544117-9,47734.3851,2012-06-15 10:10:07
131,47-5502745,694767631-2,18110.0109,2001-08-17 03:25:49
132,01-9423128,398058155-1,14439.0022,2006-02-14 07:22:27
133,25-8783139,398058155-1,72445.8992,1997-10-01 01:33:36
134,19-7243108,852429633-X,71184.6343,2004-06-04 19:10:47
135,87-7651412,186051816-8,129431.8633,2014-09-04 19:24:14
136,54-2748456,012068292-3,203853.9608,2002-07-31 10:19:33
137,67-8795354,657918043-9,16938.019,2006-08-12 20:18:12
138,16-3873498,892904975-3,28971.4137,1998-04-06 09:55:47
139,74-0669553,655433415-7,36023.1175,2010-09-05 05:20:25
140,28-8787691,751006667-0,60188.6342,2012-11-02 07:55:33
141,99-2069361,009407601-4,11458.8843,2008-06-04 00:31:41
142,06-6083124,007963832-5,87039.787,2015-12-30 07:05:52
143,08-6068894,235037630-3,144722.3395,2000-08-08 20:30:33
144,36-1073540,265876227-5,48682.2854,2009-08-16 21:03:57
145,47-5916286,544893036-0,41917,1999-11-17 04:32:10
146,62-5351258,424975720-X,14262.9371,2015-10-30 23:20:30
147,38-4573314,533163834-1,225856.0353,1998-08-05 09:20:52
148,51-1521633,488529001-5,54891.1488,1997-12-06 10:16:58
149,83-2175139,073714030-5,40443.4234,2006-08-25 10:25:48
150,37-1308870,215452072-3,15703.7974,2000-12-26 19:03:45
151,81-7656372,523087258-6,34087.9481,2007-08-05 19:29:24
152,77-8753911,082195169-6,152106.4332,2004-10-02 00:38:04
153,04-7881056,680367885-7,8345.3117,2009-04-23 18:38:33
154,83-1081631,357530990-6,58863.092,2008-07-05 12:56:57
155,21-9239556,114763117-4,59295.4262,2015-12-30 23:38:27
156,29-9776558,915487483-1,2102.7475,2015-03-05 06:02:19
157,27-0938229,452915000-3,19789.1591,1998-10-26 21:33:10
158,57-4138226,436228036-7,12918.5452,2013-07-21 14:21:08
159,14-7011478,726149609-X,208735.6443,2003-10-12 07:47:49
160,29-4180204,119890331-7,204986.605,2012-10-16 14:47:31
161,73-8481776,151600508-2,183794.8003,2004-09-07 05:34:49
162,86-8361288,570480040-8,72410.3938,2004-01-22 03:28:10
163,03-2593797,034043697-2,156587.1278,1997-09-29 14:13:33
164,95-4619473,917281425-X,35093.6118,1998-04-03 23:21:21
165,97-1391035,362616135-8,40182.0658,2010-10-13 00:10:12
166,61-4708266,194318195-0,16157.8146,2002-07-11 14:58:52
167,86-6103660,552905214-2,142037.3709,2015-01-06 19:39:29
168,09-3929791,081595168-X,28715.4379,2006-02-11 23:49:13
169,69-4227425,516076536-0,95128.5797,2016-04-12 04:11:59
170,88-1120666,940897795-5,20596.1132,2011-08-02 00:27:41
171,42-8632922,355730817-0,33371.5971,2007-11-02 11:57:31
172,53-2852315,657918043-9,31950.0046,1997-12-22 05:59:05
173,85-8722859,201795806-9,35780.9907,2014-12-18 17:03:29
174,48-9206722,828279110-5,101512.0415,2002-04-29 04:03:05
175,28-0703884,347795413-0,107004.7077,1998-01-19 17:50:01
176,63-4127051,047219001-6,178787.4736,2000-12-05 11:40:36
177,02-2044914,918095329-8,104855.5399,2001-04-04 18:52:24
178,61-6780086,346906575-6,131978.9989,2007-10-09 00:05:18
179,90-5056655,271039517-7,43374.327,2010-06-01 19:21:20
180,02-1900775,068973257-0,23916.649,2008-11-30 16:04:44
181,16-1629987,917276804-5,160306.7454,2009-11-30 20:39:20
182,67-2718674,513016505-5,65151.0182,2010-08-30 23:26:22
183,77-6608682,848196494-8,122255.7238,2008-10-10 03:47:38
184,01-3295089,827985867-9,81869.4047,2010-05-09 20:54:12
185,02-0532241,618484294-3,12804.4577,2016-04-07 19:48:02
186,16-1629987,107705150-6,155018.4461,2014-05-25 01:38:38
187,02-7649827,311303660-7,99661.2184,2000-02-04 07:11:39
188,24-8879463,466945671-7,233905.8927,2005-09-03 22:30:39
189,77-8008626,790504386-X,106241.1507,2001-08-02 02:56:48
190,38-0986499,564391580-4,31762.1374,2007-10-23 06:50:46
191,83-6533863,894668672-3,195285.4558,1999-12-14 15:15:00
192,27-9673083,555421879-2,94533.5359,2008-08-01 11:44:45
193,16-9104488,859935712-3,127212.5996,2002-11-26 19:33:04
194,19-4066663,573064943-6,147436.9374,2011-09-29 13:32:25
195,67-8795354,029969811-4,16429.0159,2012-08-26 23:45:44
196,62-0830908,051838512-4,74735.1485,1998-06-15 05:50:48
197,72-4384342,274928290-X,19242.3922,2012-04-17 01:11:52
198,91-7569922,061605883-7,150492.0916,2016-08-02 17:23:42
199,54-8696842,529447786-6,29645.5192,2005-01-25 01:51:01
200,36-8039912,424176887-3,55227.1913,1999-02-14 15:57:20
201,57-2088860,492827669-8,126156.4997,2005-01-19 13:09:54
202,23-8152396,783959618-5,99695.1131,2014-09-27 23:29:53
203,36-8262542,347469582-7,10950.9512,2004-12-29 05:01:58
204,77-1069852,804551509-0,4568.0027,1998-04-13 18:57:06
205,54-2122138,112567617-5,56374.5686,1997-12-01 21:42:03
206,01-1076657,951740778-5,37036.7789,2004-11-04 09:35:24
207,87-3947186,942129544-7,85079.5499,2001-03-02 23:58:14
208,16-1629987,251466623-6,55150.8065,2016-06-16 13:03:53
209,25-7005029,390397091-3,4786.7937,2001-12-16 01:25:27
210,16-1629987,646039795-3,112792.4008,2012-02-19 06:16:29
211,65-9918707,330654666-6,53413.908,2000-07-31 11:38:40
212,35-3602080,533605413-5,84946.1654,2004-03-05 05:50:42
213,80-0335665,196139298-4,22250.2715,2003-05-30 19:31:16
214,40-5226748,562633304-5,146553.8579,2015-12-23 02:45:50
215,67-7287442,553960512-8,176028.5384,2007-03-01 17:27:35
216,82-7934631,093555241-3,133727.0456,2003-01-31 08:36:54
217,99-3456328,896722103-7,220458.293,1998-08-06 07:02:02
218,72-6389235,137926650-5,128802.0929,2000-08-11 12:35:25
219,74-2085383,390397091-3,28488.2309,2014-06-22 07:23:54
220,87-6149069,680367885-7,8357.9176,2006-06-01 08:33:25
221,12-9483712,246653871-7,114664.6435,2009-12-18 13:06:07
222,66-1156034,820831519-2,25477.9092,2015-12-19 09:06:21
223,26-3610493,513016505-5,135816.6209,2005-02-21 17:23:40
224,79-9408802,479067757-5,107259.0531,2016-07-11 08:40:53
225,40-1047171,671995175-0,84935.0773,2005-12-26 12:36:56
226,76-9208368,870452171-4,150454.2702,1999-02-21 03:49:03
227,37-6236404,655451224-1,91312.7073,2011-08-30 16:34:19
228,41-1536104,218784345-9,49891.7793,2011-12-09 13:48:32
229,81-7969532,414195086-6,117281.7086,2010-05-11 00:55:58
230,99-7909991,056644374-0,51125.9585,2008-06-10 20:14:31
231,87-7096495,295064126-1,38851.448,2000-10-09 01:30:24
232,67-2718674,076845483-2,6999.9882,1998-04-11 19:18:21
233,80-0335665,845409921-2,17887.0987,2013-12-17 16:30:28
234,38-3486537,354731363-5,85167.9572,2009-05-09 09:44:05
235,19-0832199,832826085-9,70450.7135,2000-09-04 16:17:35
236,48-9814675,741368480-2,77416.065,2015-01-21 20:11:46
237,93-3719237,234259382-1,26678.421,2002-07-14 10:29:08
238,67-2003355,923420408-5,47161.5007,1998-04-30 23:49:36
239,66-2928082,657918043-9,24439.742,2007-02-26 08:33:10
240,55-6227527,635940491-5,23061.0096,2010-08-27 03:17:32
241,44-9461957,158141301-7,111307.0815,2007-07-01 03:10:03
242,27-6372269,212314100-3,68678.0753,2003-04-14 21:31:47
243,68-4744589,832826085-9,203379.6859,2012-08-04 15:27:53
244,15-6683180,726759326-7,194899.179,2004-08-25 16:17:53
245,93-8495870,168635424-X,24036.742,2013-08-08 10:36:52
246,31-3361928,821088754-8,29212.1716,2001-07-01 14:52:15
247,61-0761730,385305667-9,48536.7266,2010-08-21 05:49:43
248,32-3541932,833480731-7,106133.5762,2000-02-05 00:52:20
249,71-6176564,152339970-8,51034.9435,2011-08-26 21:04:50
250,23-9010960,827045007-3,215656.1419,1999-11-14 20:14:40
251,82-2546239,940897795-5,60344.9177,2001-07-19 09:41:54
252,93-9584356,995918029-8,64907.4884,2005-03-02 05:08:57
253,93-9309667,466945671-7,84577.4255,1997-11-16 04:41:14
254,54-8731805,191891319-6,51873.0996,2014-05-02 18:08:25
255,20-7926558,170133733-9,56019.4669,2015-12-21 02:50:26
256,09-8510620,300572862-5,100890.2605,2000-12-21 02:57:37
257,45-1367280,734221494-9,93309.5321,2015-08-27 13:21:52
258,19-0832199,836333969-5,178066.0071,2010-04-02 11:19:26
259,26-6429792,605754714-4,17727.3152,2008-08-29 22:18:42
260,75-3660592,294216561-8,4076.7058,2012-06-12 14:57:11
261,36-8039912,202909832-9,106360.0344,2016-06-13 17:46:26
262,29-1311542,482988164-X,13521.6824,2009-01-03 00:03:13
263,90-3218091,265876227-5,49741.1846,2011-10-10 01:20:28
264,32-3116581,144254509-7,57806.6167,2008-09-25 12:54:18
265,42-5744932,004970843-0,59503.3321,2016-03-09 18:48:18
266,38-2233333,314332481-3,101070.2409,1998-07-13 14:34:48
267,99-9865582,857016966-3,49335.6615,2010-11-28 03:54:47
268,02-5977908,885314855-1,231125.729,2002-08-05 22:40:57
269,37-6236404,947954331-1,157719.4434,2003-11-20 16:38:34
270,88-9733233,432160674-8,42139.5952,2010-07-06 02:03:52
271,23-8573029,565105634-3,36088.2381,2000-10-09 16:30:59
272,93-8495870,069773959-7,19901.2138,2016-05-21 02:30:30
273,17-9995999,833480731-7,131314.8954,2016-03-27 10:38:42
274,27-6141381,034043697-2,127784.6697,1998-08-19 19:43:51
275,36-7528065,242507100-8,122753.4654,2014-10-06 19:32:46
276,65-9907303,734950983-9,32394.2358,2004-03-27 03:26:32
277,31-7986396,728019655-1,29886.5078,2015-02-26 13:54:48
278,51-0005141,424442194-7,8491.4698,2010-06-04 02:01:19
279,72-8018550,391141002-6,35366.1055,2005-03-09 05:31:48
280,79-8248694,613606052-3,35762.3694,2003-05-24 13:42:52
281,00-3904187,274928290-X,31341.3706,2000-02-25 14:01:16
282,79-1943276,878233661-X,1065.8757,2006-12-17 08:42:59
283,63-8202734,144640712-8,56068.0974,2000-12-28 05:56:31
284,51-0005141,720789818-5,38067.7219,2004-01-24 08:22:02
285,26-8399465,652466420-5,73946.794,2016-04-19 18:38:34
286,79-6862792,662272779-1,74341.321,2013-04-24 19:06:35
287,82-6871187,766677312-9,81643.5561,2005-06-24 23:25:31
288,84-7380472,413434739-4,20648.0523,2003-07-06 15:39:40
289,75-5585645,902711589-3,224913.3881,2004-06-01 06:05:19
290,27-6482995,369085873-9,74931.9986,1997-10-28 14:44:52
291,91-9976547,838142661-8,216063.5149,2001-06-18 11:41:45
292,83-6533863,202909832-9,128439.2765,2010-05-12 01:52:32
293,90-5840059,792839934-2,83130.9098,2006-10-08 02:15:49
294,61-4183580,983291035-8,208059.9451,2006-07-21 14:31:24
295,65-5814332,129454589-2,4965.0851,2008-05-16 13:41:03
296,73-1774992,726759326-7,58452.906,2006-09-06 19:16:03
297,43-2204281,091101633-3,29158.8527,2002-03-22 05:41:19
298,63-7636003,439240474-9,108770.4618,2003-02-04 02:02:55
299,55-8814320,796324717-0,31350.2772,2015-01-27 19:38:38
300,93-8514497,405442373-6,66903.5144,2005-04-16 16:39:36
301,13-4015001,817799422-0,17447.8651,2006-11-21 00:25:48
302,14-4923596,493884958-5,192982.4042,2003-07-05 03:48:40
303,40-8042351,914941837-8,7826.9888,2004-12-26 13:52:40
304,72-4097719,305451566-4,42145.8408,2004-02-04 22:17:11
305,20-7339676,512611764-5,49817.8862,2009-05-30 20:38:35
306,57-1732443,191891319-6,38573.76,2005-02-11 05:54:16
307,56-2515834,196139298-4,52176.2723,2015-03-26 04:45:22
308,73-4248150,655880774-2,52706.7345,2009-12-08 09:59:32
309,57-6444772,809782089-7,148464.3898,2009-03-09 05:13:13
310,17-0710579,458553246-3,87763.4449,2010-03-22 08:56:23
311,61-4183580,166475354-0,65514.809,2012-12-04 04:45:55
312,38-9591204,817799422-0,23409.6081,1999-03-04 12:52:34
313,20-7926558,068973257-0,17402.3455,2016-06-27 00:56:57
314,51-8928759,214095476-9,126445.333,2001-06-03 09:33:20
315,97-3543181,255775672-5,112183.9164,2000-09-14 22:16:23
316,88-6462944,512263517-X,90119.4748,2015-01-29 10:09:45
317,71-6491925,735228534-2,22722.5898,2006-06-28 03:29:51
318,87-7651412,614296582-6,31725.6394,2001-12-25 09:52:22
319,46-3679381,380095618-7,127741.6662,2014-01-04 19:44:08
320,50-3596349,076845483-2,6575.4509,2012-10-07 01:20:48
321,06-2562217,200443529-1,10223.9767,2009-11-28 23:16:00
322,04-8467241,569845441-8,35410.7134,2001-08-30 10:01:10
323,19-4066663,885441555-3,78797.7027,1999-04-20 08:56:27
324,38-2885426,365601923-1,148670.7587,2004-01-14 02:38:55
325,81-6528972,550175040-6,200596.0654,2010-09-22 22:36:11
326,66-0139255,974995039-9,46265.7616,2006-04-05 20:21:41
327,65-9918707,595683736-5,1778.0954,2011-12-17 15:02:06
328,38-2732538,182985636-7,17337.2072,2002-06-22 20:37:16
329,69-6542473,347714964-5,12401.8574,2004-03-25 20:34:51
330,82-6871187,015006574-4,115067.5997,2009-06-27 07:06:24
331,87-1650183,212084746-0,204244.9094,1997-12-12 21:31:57
332,63-5736043,600258030-1,80916.4923,2014-03-31 20:53:38
333,57-3108930,978662280-4,247749.7873,1998-01-10 17:20:54
334,99-3456328,610350791-X,13288.7913,2005-12-29 10:39:47
335,08-1833714,205959742-0,46011.2251,2015-04-24 22:02:37
336,86-6578126,623254055-7,8645.5426,2005-07-08 07:54:43
337,32-3541932,265722692-2,13829.657,2014-09-15 17:18:24
338,47-5916286,499259038-1,48087.0082,2015-02-02 08:10:25
339,55-3464891,625957075-9,22893.3917,2007-12-18 01:38:06
340,40-5226748,310842149-2,9723.3277,2005-07-15 07:08:02
341,54-4082199,081595168-X,11964.5738,2011-09-05 07:00:51
342,94-6459784,423456986-0,57421.858,2010-02-19 23:57:38
343,92-5552422,388122639-7,120174.5096,2005-08-09 22:44:28
344,09-3929791,432160674-8,183638.461,2007-04-15 19:25:15
345,69-4227425,166985747-6,134672.9866,2008-05-19 23:32:05
346,69-6223871,723126541-3,39104.8307,2011-08-02 22:20:21
347,75-4859180,226055556-X,77951.1476,2011-03-19 03:18:32
348,56-0209997,230556581-X,78057.7449,2009-12-12 22:56:42
349,08-1833714,601478763-1,16463.4926,2000-07-24 10:23:35
350,72-8018550,866793171-3,52808.8634,2014-02-07 08:28:47
351,00-5570262,033982246-5,25475.9288,2002-10-15 03:25:40
352,25-4605370,588375697-2,67717.1922,2001-03-28 11:14:41
353,55-1575984,889200022-5,74466.5302,2016-06-03 15:41:56
354,51-7687710,478283746-1,105548.1351,2002-04-04 19:05:54
355,43-7751466,569670681-9,61875.74,2012-09-16 20:30:56
356,46-6816683,866793171-3,253760.9457,2006-07-25 02:05:00
357,17-3221318,272989844-1,119064.8241,2013-04-30 17:08:43
358,05-2149540,884800094-0,182726.4183,1998-02-09 20:30:39
359,26-6429792,080061715-0,36212.4072,2013-09-19 02:18:33
360,81-6528972,300572862-5,66269.5176,2015-08-09 05:23:28
361,04-7591613,323877286-4,29003.1198,2015-02-20 01:09:51
362,34-3882729,087694581-7,185932.5821,2012-04-22 21:20:23
363,06-6083124,048497527-7,14184.3166,2010-08-28 22:43:32
364,04-7881056,590820351-3,112289.9461,2003-02-11 16:21:57
365,17-0866090,459056757-1,17269.7116,2016-05-03 02:26:53
366,54-8731805,036960416-4,14831.2357,2010-12-06 10:03:36
367,18-3850978,652466420-5,18163.3385,1997-11-29 15:59:51
368,21-1533001,513778230-0,109859.672,2001-04-11 07:24:29
369,98-6272563,348216209-3,202443.4947,2006-01-18 11:51:10
370,09-3929791,826904341-9,78569.6261,2003-02-09 10:07:35
371,13-9434674,655451224-1,148363.9364,2007-07-10 10:29:23
372,56-2515834,127203711-8,31437.7289,1997-12-18 13:40:19
373,93-5266968,271821665-4,98119.3132,1997-11-17 05:16:24
374,82-8824692,214095476-9,52304.5245,2015-03-22 17:12:51
375,72-4384342,601380976-3,4563.5205,2003-03-18 04:07:50
376,45-8842193,251466623-6,22766.0454,1998-12-20 13:35:35
377,21-0495757,565076645-2,157173.9424,2000-01-20 23:51:24
378,37-0624117,061961679-2,199090.5569,2010-04-03 17:21:03
379,37-6236404,097255076-3,87857.6057,2015-09-18 03:09:49
380,92-9208097,181642257-6,117205.699,2016-04-19 17:23:34
381,62-7769362,032302535-8,77860.21,2016-01-27 17:41:50
382,92-9237254,853119047-9,23103.2224,2011-04-23 13:09:37
383,00-7972964,547026068-2,41087.9806,2004-10-16 04:01:39
384,22-5666429,033982246-5,9708.3666,2002-08-27 01:24:04
385,14-4923596,586151939-0,24928.8773,2010-09-13 21:24:22
386,11-8115784,848196494-8,136212.0469,2000-03-28 07:26:08
387,04-1708323,158856540-8,89071.6967,2007-01-03 16:02:08
388,61-4548294,722062497-2,249450.6517,2004-04-12 21:53:36
389,48-0052307,756906979-X,125432.0237,2009-12-19 01:01:40
390,54-2748456,424176887-3,232171.1361,2012-04-30 08:41:00
391,75-9011832,331541885-3,50986.5377,2013-04-21 19:52:30
392,69-2487049,285017163-8,31797.8771,2007-11-12 11:32:08
393,92-8880978,191930944-6,24561.0756,1999-11-07 01:43:27
394,21-0495757,574879371-7,6066.432,2005-06-01 05:52:32
395,46-3363258,732912216-5,28709.3475,2006-09-28 08:00:39
396,30-0996761,636732581-6,34075.6386,2013-02-08 00:24:21
397,13-9434674,183831384-2,26941.3976,2002-10-20 18:13:14
398,01-3207603,753678181-4,92337.2042,2002-08-19 00:32:41
399,12-3139701,338760834-9,92292.2553,2008-06-27 08:59:50
400,24-0874998,776307423-X,22081.5311,2002-08-12 23:41:17
401,57-1732443,799632113-2,80524.1729,2010-08-20 18:13:22
402,38-3000532,790504386-X,38934.6202,2009-12-07 19:17:49
403,33-9672348,342949496-6,75858.8949,2003-04-28 16:23:01
404,20-2864256,203639559-7,96323.9759,2014-09-20 02:35:20
405,54-0321937,179709017-8,20090.5772,2002-12-06 14:48:47
406,79-5945617,802747993-2,39090.3954,2015-01-25 21:56:41
407,48-0052307,147552717-9,27253.4947,2006-06-28 05:22:56
408,09-2843383,458553246-3,103204.8905,2002-11-07 09:41:00
409,60-5201273,728019655-1,8607.3097,2005-06-04 01:56:31
410,43-7049831,298622433-4,13537.9906,2011-06-12 01:35:06
411,85-0050617,378198465-6,35549.1217,2005-10-09 03:52:44
412,20-2542568,253317060-7,47427.6166,2005-04-11 19:35:16
413,31-5471814,430854624-9,25967.9036,2000-03-08 14:49:52
414,92-2945223,605910224-7,9878.1213,1997-11-20 19:51:23
415,01-6715076,230556581-X,11191.2304,2000-10-12 21:19:47
416,44-1530999,513851532-2,19584.4421,2016-06-10 17:42:46
417,98-6648384,646039795-3,85298.0719,2011-03-25 21:46:25
418,89-5582240,300572862-5,107650.0149,2005-11-05 09:28:59
419,74-0669553,705559801-X,23897.19,2004-06-19 09:01:39
420,51-7098657,512263517-X,24510.9028,2016-06-07 06:47:25
421,61-4708266,019546405-2,132991.4911,2009-11-23 07:04:49
422,22-5666429,914830013-6,50220.1127,2007-08-27 03:55:06
423,17-0710579,896410685-7,7707.6063,1998-11-27 11:54:31
424,60-0587292,980019090-2,39854.1099,2011-04-24 19:40:10
