DAY_OF_MONTH,DAY_OF_WEEK,CARRIER,TAIL_NUM,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CRS_ARR_TIME,ARR_TIME,ARR_DELAY_NEW,CRS_ELAPSED_TIME,DISTANCE
2,4,EV,N758EV,4901,10397,ATL,13485,MSN,1506,1511,5,1619,1603,0,133,707
2,4,EV,N870AS,5024,10208,AGS,10397,ATL,1310,1326,16,1414,1425,11,64,143
2,4,EV,N870AS,5024,10397,ATL,10208,AGS,1154,1207,13,1243,1305,22,49,143
2,4,EV,N146PQ,5025,12448,JAN,10397,ATL,720,720,0,943,950,7,83,341
2,4,EV,N131EV,5027,14100,PHL,11433,DTW,600,605,5,752,752,0,112,453
2,4,EV,N614QX,5028,10397,ATL,11066,CMH,1206,,,1340,,,94,447
2,4,EV,N614QX,5028,11066,CMH,10397,ATL,1417,,,1558,,,101,447
2,4,OO,N772SK,6277,13930,ORD,11109,COS,1759,,,1941,,,162,911
2,4,OO,N975SW,6198,12892,LAX,10713,BOI,1140,1136,0,1449,1440,0,129,674
2,4,OO,N718SK,6199,11292,DEN,13851,OKC,1935,2007,32,2204,2235,31,89,495
3,5,B6,N266JB,581,12478,JFK,12191,HOU,1437,,,1743,,,246,1428
3,5,B6,N266JB,57,10721,BOS,12264,IAD,627,,,811,,,104,413
3,5,B6,N266JB,281,12478,JFK,12191,HOU,815,1328,313,1123,1627,304,248,1428
3,5,B6,N266JB,282,12191,HOU,12478,JFK,1208,1704,296,1630,2131,301,202,1428
3,5,B6,N267JB,6,11697,FLL,11618,EWR,1808,,,2107,,,179,1065
3,5,B6,N267JB,121,10721,BOS,14027,PBI,745,,,1058,,,193,1197
3,5,B6,N267JB,46,14635,RSW,10792,BUF,1046,1033,0,1329,1314,0,163,1144
3,5,B6,N267JB,1465,10792,BUF,11697,FLL,1410,1522,72,1714,1833,79,184,1165
3,5,AA,N3EEAA,67,12478,JFK,14679,SAN,1705,,,2015,,,370,2446
3,5,AA,N635AA,68,14771,SFO,13303,MIA,620,620,0,1440,1444,4,320,2585
3,5,AA,N5EBAA,69,13303,MIA,14771,SFO,2035,2037,2,2355,2346,0,380,2585
3,5,AA,N372AA,72,12173,HNL,13930,ORD,1700,1711,11,525,522,0,505,4243
3,5,AA,N375AA,73,13930,ORD,12173,HNL,1100,1216,76,1630,1741,71,570,4243
3,5,AA,N3HMAA,74,12892,LAX,12264,IAD,2240,2309,29,625,642,17,285,2288
3,5,DL,N957DL,1077,14492,RDU,10397,ATL,1600,1621,21,1727,1742,15,87,356
3,5,DL,N915DN,1078,14193,PNS,10397,ATL,705,700,0,920,905,0,75,271
3,5,DL,N918DE,1079,10397,ATL,13296,MHT,1900,2032,92,2130,2256,86,150,952
3,5,DL,N934DN,1081,10397,ATL,14027,PBI,2040,2153,73,2229,2336,67,109,545
3,5,DL,N303DQ,1082,10397,ATL,11624,EYW,1351,1436,45,1544,1617,33,113,646
3,5,AA,N014AA,2377,11298,DFW,12278,ICT,940,937,0,1055,1049,0,75,328
3,5,AA,N014AA,2377,12278,ICT,11298,DFW,1135,1129,0,1300,1244,0,85,328
3,5,AA,N3FYAA,2378,13303,MIA,15304,TPA,2225,2222,0,2325,2324,0,60,204
3,5,EV,N902EV,2500,11298,DFW,12191,HOU,2105,2104,0,2205,2213,8,60,247
3,5,EV,N907EV,2502,11146,CRW,11298,DFW,1655,2014,199,1900,2153,173,185,946
3,5,EV,N907EV,2502,11298,DFW,11146,CRW,1320,1625,185,1625,1935,190,125,946
3,5,EV,N902EV,2503,10279,AMA,11298,DFW,1925,1915,0,2030,2017,0,65,312
3,5,F9,N939FR,901,15356,TTN,10397,ATL,755,1207,252,1005,1502,297,130,701
3,5,F9,N939FR,902,10397,ATL,15356,TTN,1045,1541,296,1245,1743,298,120,701
3,5,F9,,913,15356,TTN,15304,TPA,1325,,,1613,,,168,955
3,5,F9,,914,15304,TPA,15356,TTN,1655,,,1916,,,141,955
3,5,F9,N939FR,907,15356,TTN,14492,RDU,1745,1826,41,1905,1948,43,80,373
3,5,F9,N939FR,908,14492,RDU,15356,TTN,1945,2023,38,2055,2142,47,70,373
3,5,FL,N949AT,223,10397,ATL,10721,BOS,1425,1544,79,1650,1808,78,145,946
3,5,FL,N972AT,225,12339,IND,12191,HOU,1610,1620,10,1745,1734,0,155,861
3,5,FL,N923AT,227,10397,ATL,14524,RIC,1630,1636,6,1804,1759,0,94,481
3,5,FL,N923AT,227,15304,TPA,10397,ATL,1420,1429,9,1548,1553,5,88,406
3,5,FL,N603AT,232,10397,ATL,14100,PHL,2100,2124,24,2306,2322,16,126,666
3,5,FL,N603AT,232,14683,SAT,10397,ATL,1700,1658,0,2009,2014,5,129,874
3,5,HA,N486HA,324,12982,LIH,12173,HNL,2256,2250,0,2328,2327,0,32,102
3,5,HA,N486HA,325,13830,OGG,12173,HNL,1736,1739,3,1810,1815,5,34,101
3,5,MQ,N607MQ,2733,11298,DFW,10136,ABI,2115,2316,121,2205,3,118,50,158
3,5,MQ,N831MQ,2734,10136,ABI,11298,DFW,550,641,51,640,726,46,50,158
3,5,MQ,N935MQ,2736,11298,DFW,12448,JAN,705,705,0,825,828,3,80,408
3,5,MQ,N935MQ,2736,12448,JAN,11298,DFW,855,857,2,1030,1019,0,95,408
3,5,OO,N568SW,5426,14487,RDD,14771,SFO,1405,1411,6,1522,1522,0,77,199
3,5,OO,N568SW,5426,14771,SFO,14487,RDD,1227,1239,12,1340,1341,1,73,199
3,5,OO,N292SW,5427,14771,SFO,14893,SMF,841,836,0,934,914,0,53,86
3,5,OO,N983SW,6504,11292,DEN,14831,SJC,1529,1533,4,1715,1707,0,166,948
4,6,WN,N364SW,1003,13891,ONT,14107,PHX,1440,1559,79,1650,1805,75,70,325
4,6,WN,N234WN,1317,13891,ONT,14107,PHX,715,715,0,925,915,0,70,325
4,6,WN,N904WN,1469,13891,ONT,14107,PHX,1035,1133,58,1240,1332,52,65,325
4,6,WN,N738CB,2289,13891,ONT,14107,PHX,1235,1258,23,1445,1513,28,70,325
4,6,WN,N934WN,2369,13891,ONT,14107,PHX,845,,,1055,,,70,325
4,6,US,N813AW,562,14107,PHX,10721,BOS,1610,1631,21,2257,2252,0,287,2300
4,6,US,N552UW,563,13930,ORD,14107,PHX,1705,1730,25,1956,2034,38,231,1440
4,6,US,N547UW,563,14107,PHX,14679,SAN,2100,2113,13,2115,2114,0,75,304
4,6,US,N601AW,565,11618,EWR,14107,PHX,1630,1627,0,1957,1959,2,327,2133
4,6,US,N601AW,566,14107,PHX,10721,BOS,50,48,0,731,725,0,281,2300
5,7,AA,N3JNAA,232,10397,ATL,11298,DFW,1925,1933,8,2050,2119,29,145,731
5,7,AA,N3JNAA,232,11298,DFW,10397,ATL,1535,1554,19,1845,1851,6,130,731
5,7,AA,N3KGAA,233,10821,BWI,13303,MIA,610,610,0,855,858,3,165,946
5,7,AA,N3CLAA,234,13303,MIA,10821,BWI,2140,2245,65,10,59,49,150,946
5,7,AA,N3JRAA,235,12478,JFK,14747,SEA,1850,2020,90,2220,2321,61,390,2422
5,7,AA,N3LFAA,171,12889,LAS,13930,ORD,1540,1618,38,2110,2237,87,210,1514
6,1,US,N280AY,759,14100,PHL,13204,MCO,1810,2035,145,2045,2332,167,155,861
6,1,US,N701UW,760,13204,MCO,11278,DCA,715,712,0,923,933,10,128,759
6,1,US,N170US,761,12478,JFK,14107,PHX,630,641,11,1018,1016,0,348,2153
6,1,US,N170US,761,14107,PHX,14747,SEA,1120,1124,4,1331,1325,0,191,1107
6,1,US,N251AY,762,14843,SJU,11057,CLT,720,731,11,1008,1000,0,228,1475
9,4,WN,N691WN,4735,15016,STL,10397,ATL,1125,1142,17,1400,1429,29,95,484
9,4,WN,N405WN,3304,15016,STL,10693,BNA,1235,1301,26,1340,1404,24,65,272
9,4,WN,N552WN,4738,15016,STL,10693,BNA,1845,1902,17,1945,2008,23,60,272
9,4,WN,N277WN,3565,15016,STL,10721,BOS,1420,1430,10,1745,1751,6,145,1047
9,4,WN,N794SW,4636,15016,STL,10721,BOS,845,845,0,1210,1223,13,145,1047
9,4,WN,N436WN,1180,15016,STL,10821,BWI,800,758,0,1055,1129,34,115,738
7,2,WN,N431WN,2154,12889,LAS,14771,SFO,1730,1759,29,1900,1928,28,90,414
7,2,WN,N278WN,5,12889,LAS,14831,SJC,2130,2206,36,2250,2321,31,80,386
7,2,WN,N485WN,405,12889,LAS,14831,SJC,825,821,0,950,939,0,85,386
7,2,WN,N523SW,423,12889,LAS,14831,SJC,1200,1158,0,1325,1327,2,85,386
7,2,WN,N380SW,665,12889,LAS,14831,SJC,1625,1635,10,1750,1754,4,85,386
7,2,WN,N555LV,770,12889,LAS,14831,SJC,600,558,0,725,715,0,85,386
7,2,DL,N388DA,2190,12478,JFK,13303,MIA,805,1036,151,1121,1353,152,196,1089
7,2,DL,N688DL,2191,10397,ATL,15304,TPA,1225,1340,75,1354,1457,63,89,406
7,2,DL,N548US,2192,15304,TPA,11433,DTW,830,828,0,1110,1105,0,160,983
7,2,DL,N3765,2193,14100,PHL,11433,DTW,550,553,3,742,745,3,112,453
7,2,DL,N905DL,2195,10397,ATL,13360,MLB,1550,1638,48,1717,1802,45,87,442
7,2,DL,N905DL,2195,13360,MLB,10397,ATL,1759,1853,54,1937,2046,69,98,442
7,2,DL,N963DL,2196,13487,MSP,12953,LGA,1517,1519,2,1900,1925,25,163,1020
7,2,DL,N914DE,2197,11066,CMH,10397,ATL,600,617,17,736,755,19,96,447
7,2,DL,N928DL,2198,13487,MSP,11433,DTW,810,,,1058,,,108,528
7,2,DL,N319NB,2199,12892,LAX,12889,LAS,1000,1023,23,1110,1135,25,70,236
7,2,DL,N319NB,2200,12892,LAX,12889,LAS,1845,1840,0,1954,1952,0,69,236
7,2,DL,N926DL,2201,10721,BOS,10397,ATL,1730,1756,26,2030,2106,36,180,946
7,2,DL,N644DL,2203,10397,ATL,12889,LAS,811,820,9,950,941,0,279,1747
7,2,DL,N3760C,2204,12892,LAX,14869,SLC,1300,1258,0,1552,1534,0,112,590
7,2,DL,N137DL,2205,10299,ANC,13487,MSP,2150,2203,13,610,611,1,320,2519
7,2,DL,N923DL,2206,10397,ATL,13931,ORF,1356,1436,40,1530,1607,37,94,516
7,2,DL,N357NB,2207,10397,ATL,11996,GSP,1339,1501,82,1434,1601,87,55,153
8,3,F9,N922FR,683,13204,MCO,11292,DEN,925,928,3,1140,1134,0,255,1546
8,3,F9,N922FR,112,11292,DEN,13487,MSP,1220,1220,0,1513,1516,3,113,680
8,3,F9,N922FR,113,13487,MSP,11292,DEN,1556,1555,0,1701,1655,0,125,680
8,3,F9,N922FR,561,11292,DEN,14679,SAN,1810,1808,0,1928,1921,0,138,853
8,3,F9,N923FR,736,11292,DEN,11193,CVG,1705,1726,21,2140,2200,20,155,1069
8,3,F9,N924FR,695,11003,CID,11292,DEN,715,715,0,820,820,0,125,692
8,3,F9,N924FR,741,11292,DEN,14107,PHX,905,910,5,1058,1058,0,113,602
8,3,F9,N924FR,742,14107,PHX,11292,DEN,1138,1243,65,1323,1423,60,105,602
10,5,DL,N964DN,525,13342,MKE,10397,ATL,1654,1714,20,1955,2103,68,121,669
10,5,DL,N962DL,527,10397,ATL,13931,ORF,1538,1544,6,1713,1715,2,95,516
10,5,DL,N962DL,527,13931,ORF,10397,ATL,1755,1751,0,1958,2014,16,123,516
10,5,DL,N933AT,528,10397,ATL,15249,TLH,1542,1644,62,1644,1753,69,62,223
10,5,DL,N933AT,528,15249,TLH,10397,ATL,1721,1826,65,1828,1941,73,67,223
12,7,UA,N33132,1600,11618,EWR,12892,LAX,1520,1528,8,1839,1830,0,379,2454
12,7,UA,N37434,1603,12266,IAH,14747,SEA,1735,1738,3,2019,2034,15,284,1874
12,7,UA,N39463,1603,14747,SEA,10299,ANC,2112,2126,14,2354,35,41,222,1448
12,7,UA,N68453,1604,12266,IAH,11292,DEN,1904,1906,2,2041,2031,0,157,862
12,7,UA,N14228,1605,11618,EWR,12889,LAS,1729,1732,3,2018,2029,11,349,2227
12,7,UA,N14228,1605,13303,MIA,11618,EWR,1325,1322,0,1631,1621,0,186,1085
12,7,UA,N69810,1606,14771,SFO,13930,ORD,1618,1631,13,2225,2226,1,247,1846
12,7,UA,N37456,1607,12266,IAH,14107,PHX,1410,1426,16,1600,1613,13,170,1009
14,2,OO,N701BR,5502,13871,OMA,11292,DEN,1730,1750,20,1818,1817,0,108,472
14,2,OO,N566SW,5503,13476,MRY,14771,SFO,915,1004,49,1001,1039,38,46,77
14,2,OO,N566SW,5503,14771,SFO,13476,MRY,805,805,0,850,846,0,45,77
14,2,OO,N223SW,5504,13264,MFR,14771,SFO,1251,1250,0,1438,1425,0,107,329
14,2,OO,N223SW,5504,14771,SFO,13264,MFR,1042,1044,2,1226,1229,3,104,329
16,4,DL,N6704Z,1915,10397,ATL,14107,PHX,2045,2050,5,2302,2306,4,257,1587
16,4,DL,N531US,1916,10397,ATL,11292,DEN,1100,1056,0,1230,1221,0,210,1199
16,4,DL,N531US,1916,11292,DEN,10397,ATL,1320,1320,0,1804,1748,0,164,1199
16,4,DL,N3768,1917,11433,DTW,12889,LAS,1945,2045,60,2117,2152,35,272,1749
16,4,DL,N6700,1918,14908,SNA,10397,ATL,815,815,0,1517,1510,0,242,1919
16,4,DL,N926DL,1919,12953,LGA,13487,MSP,605,601,0,815,743,0,190,1020
16,4,DL,N940DL,1920,14685,SAV,10397,ATL,749,757,8,905,903,0,76,214
16,4,DL,N3737C,1921,11433,DTW,14107,PHX,821,816,0,1051,1031,0,270,1671
16,4,DL,N6710E,1922,14986,SRQ,10397,ATL,821,817,0,1000,955,0,99,444
15,3,EV,N13123,5988,14730,SDF,11292,DEN,1647,1715,28,1758,1805,7,191,1024
15,3,EV,N12167,5989,13930,ORD,13871,OMA,1000,956,0,1136,1115,0,96,416
15,3,EV,N14952,5989,15096,SYR,13930,ORD,640,635,0,809,755,0,149,607
15,3,EV,N21197,5992,13871,OMA,11292,DEN,1123,1118,0,1207,1146,0,104,472
15,3,EV,N17185,5993,12264,IAD,12339,IND,833,829,0,1023,1014,0,110,476
15,3,EV,N14542,5995,10874,CAK,13930,ORD,610,808,118,650,837,107,100,343
15,3,EV,N13538,5995,13930,ORD,10529,BDL,755,751,0,1058,1100,2,123,783
15,3,EV,N31131,5996,10693,BNA,13930,ORD,1350,1344,0,1530,1517,0,100,409
15,3,EV,N13118,5997,11003,CID,11292,DEN,1341,1337,0,1455,1437,0,134,692
15,3,EV,N13914,5998,13930,ORD,12992,LIT,1608,1721,73,1756,1855,59,108,552
15,3,EV,N14203,5999,11292,DEN,11298,DFW,743,742,0,1043,1028,0,120,641
15,3,OO,N951SW,6474,12892,LAX,10140,ABQ,1935,1925,0,2226,2219,0,111,677
15,3,OO,N454SW,7414,12335,IMT,14520,RHI,600,550,0,649,625,0,49,67
15,3,OO,N454SW,7414,14520,RHI,13487,MSP,715,710,0,819,814,0,64,190
15,3,OO,N439SW,7415,13487,MSP,14520,RHI,1920,1919,0,2026,2038,12,66,190
15,3,OO,N439SW,7415,14520,RHI,12335,IMT,2055,2100,5,2136,,,41,67
15,3,OO,N441SW,7416,13487,MSP,14520,RHI,1415,1408,0,1518,1508,0,63,190
15,3,OO,N441SW,7416,14520,RHI,13487,MSP,1543,1528,0,1646,1629,0,63,190
17,5,OO,N568SW,5437,14057,PDX,13024,LMT,2230,2226,0,2338,2327,0,68,241
17,5,OO,N658CT,5438,14057,PDX,11603,EUG,1143,1143,0,1222,1219,0,39,106
17,5,OO,N658CT,5438,14747,SEA,14057,PDX,845,,,933,,,48,129
17,5,OO,N297SW,5439,11603,EUG,14057,PDX,545,544,0,628,636,8,43,106
17,5,OO,N583SW,5440,14057,PDX,14489,RDM,2225,2222,0,2302,2301,0,37,116
17,5,OO,N586SW,5441,14771,SFO,14698,SBP,722,718,0,828,829,1,66,190
17,5,OO,N582SW,5442,13424,MOD,14771,SFO,600,600,0,644,644,0,44,78
17,5,OO,N234SW,5443,14771,SFO,14487,RDD,2141,2134,0,2242,2234,0,61,199
17,5,OO,N580SW,5444,14487,RDD,14771,SFO,2035,2025,0,2151,2142,0,76,199
17,5,OO,N580SW,5444,14771,SFO,14487,RDD,1900,1902,2,2010,2006,0,70,199
17,5,OO,N295SW,5445,14893,SMF,14771,SFO,520,520,0,613,605,0,53,86
17,5,MQ,N628MQ,2935,13485,MSN,11298,DFW,650,649,0,935,918,0,165,821
17,5,MQ,N805MQ,2937,11298,DFW,10136,ABI,1730,1723,0,1820,1812,0,50,158
17,5,MQ,N680MQ,2939,13930,ORD,11067,CMI,1815,1845,30,1905,2049,104,50,135
17,5,MQ,N664MQ,2940,10529,BDL,13930,ORD,1910,1927,17,2100,2218,78,170,783
17,5,MQ,N664MQ,2940,13930,ORD,10529,BDL,1535,1533,0,1835,1906,31,120,783
17,5,MQ,N619MQ,2996,11298,DFW,15411,TYR,1515,1550,35,1600,1628,28,45,102
17,5,MQ,N619MQ,2996,15411,TYR,11298,DFW,1630,1645,15,1715,1722,7,45,102
17,5,FL,N149AT,128,13232,MDW,10397,ATL,2030,2054,24,2325,2329,4,115,591
17,5,FL,N951AT,130,13232,MDW,13204,MCO,1140,1152,12,1515,1519,4,155,990
17,5,FL,N961AT,132,12339,IND,13204,MCO,948,951,3,1213,1218,5,145,829
17,5,FL,N607AT,144,10397,ATL,11697,FLL,1850,1914,24,2045,2123,38,115,581
17,5,FL,N607AT,144,14730,SDF,10397,ATL,1649,1649,0,1809,1829,20,80,321
17,5,FL,N899AT,148,10397,ATL,10821,BWI,1753,1748,0,1938,1930,0,105,577
17,5,FL,N925AT,151,10397,ATL,10874,CAK,2055,2117,22,2241,2248,7,106,528
17,5,FL,N925AT,151,14635,RSW,10397,ATL,1830,1828,0,2015,2010,0,105,515
17,5,FL,N938AT,154,10821,BWI,13204,MCO,1022,1030,8,1247,1306,19,145,787
17,5,EV,N740EV,5234,14524,RIC,12953,LGA,1755,1749,0,1929,1910,0,94,292
17,5,EV,N740EV,5235,10581,BGR,11433,DTW,640,637,0,909,900,0,149,750
17,5,EV,N371CA,5236,10693,BNA,11433,DTW,1036,1032,0,1315,1310,0,99,456
17,5,EV,N867AS,5238,10868,CAE,10397,ATL,900,856,0,1013,1017,4,73,192
17,5,EV,N391CA,5239,11433,DTW,11537,ELM,1540,1533,0,1654,1640,0,74,332
17,5,EV,N391CA,5239,11537,ELM,11433,DTW,1729,1711,0,1905,1816,0,96,332
