medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
1957C320398402AD3EAFA9689130DF32,A1B20AA208FAAF5CDE77C4439DA3EBC3,CMT,1,N,10/3/2013 6:57,10/3/2013 7:00,1,181,0.6,-73.983421,40.750137,-73.984421,40.754723
6817DAB7FE402A830E3A095CC9429AD8,A14E93069747B759208DDAED8C3E85E6,CMT,1,N,10/3/2013 22:47,10/3/2013 22:58,1,684,1.8,-73.990273,40.733521,-73.984772,40.71817
98295C0F915873F4A862715DFE3FF585,77D48BD865D15E771C0728DA21552745,CMT,1,N,10/2/2013 21:27,10/2/2013 21:54,1,1649,7.3,-73.997276,40.762444,-73.963722,40.677814
6817DAB7FE402A830E3A095CC9429AD8,A14E93069747B759208DDAED8C3E85E6,CMT,1,N,10/3/2013 20:19,10/3/2013 20:29,1,604,1.5,-73.994064,40.724529,-74.008987,40.711006
A6FEF39DB6A3DE3893DAABB98E46C8DC,67997C6B9AAEF6DE07DBC859DFE48121,CMT,1,N,10/3/2013 10:26,10/3/2013 10:31,1,348,0.7,-73.986542,40.758774,-73.992386,40.755093
A6FEF39DB6A3DE3893DAABB98E46C8DC,67997C6B9AAEF6DE07DBC859DFE48121,CMT,1,N,10/3/2013 10:57,10/3/2013 11:09,1,714,1.1,-73.98111,40.767677,-73.965698,40.771523
4A5EB7776D172F5F85B6F344C806DA90,6C1DE2001261F0C23B97BF46A92B3569,CMT,1,N,10/5/2013 1:07,10/5/2013 1:17,1,633,3,-73.986496,40.722256,-73.963509,40.711079
4DC83B013057503607E85BC4BB6581CE,73A254E2098B07D5D7E738719EED36BD,CMT,1,N,10/3/2013 7:14,10/3/2013 7:22,1,472,0.9,-74.009872,40.705399,-74.01384,40.714603
13804C3B9932CF05FE17F7BBAC2BC4E7,20984D31722ACD7E01C30CADD0521952,CMT,1,N,10/3/2013 23:42,10/3/2013 23:54,1,725,4.1,-73.977188,40.747032,-73.936882,40.792233
A31E620BFCC926FD58B674773FEC5D80,15B711EFF97FB99BE14C7A2387892867,CMT,1,N,10/3/2013 13:35,10/3/2013 13:54,1,1136,1.5,-73.999443,40.762932,-73.976303,40.755951
A6FEF39DB6A3DE3893DAABB98E46C8DC,67997C6B9AAEF6DE07DBC859DFE48121,CMT,1,N,10/3/2013 15:28,10/3/2013 15:37,1,534,1,-73.993195,40.747272,-73.990982,40.736301
EEBCDC24D2687361329744400D78FE14,9D54E3342ECB49A566F076D3DD59323E,CMT,1,N,10/4/2013 2:35,10/4/2013 2:45,1,555,2.2,-73.999603,40.758099,-73.98468,40.737137
8589C2A159CF61039C01B37BFB303D4A,2AB9D849FDF225931EA1C1F734EC80D7,CMT,1,N,10/5/2013 0:16,10/5/2013 0:24,1,504,2.1,-73.988617,40.722664,-73.981285,40.746796
8589C2A159CF61039C01B37BFB303D4A,2AB9D849FDF225931EA1C1F734EC80D7,CMT,1,N,10/4/2013 19:15,10/4/2013 19:24,1,558,0.8,-73.979225,40.752869,-73.987091,40.74955
3AFBD1A8787B3ABF4FE5905459D25A7A,84007B2EFCAEF60776DA2362C6320C7D,CMT,1,N,10/2/2013 0:56,10/2/2013 1:13,1,1063,6,-73.99102,40.760727,-73.971703,40.697433
3AFBD1A8787B3ABF4FE5905459D25A7A,84007B2EFCAEF60776DA2362C6320C7D,CMT,1,N,10/2/2013 1:24,10/2/2013 1:35,1,671,3.1,-73.988716,40.722237,-73.95575,40.717674
6A5448046144A695A0027ADE29F25945,8C00B904D288C0EC37F3969C493F9810,CMT,1,N,10/2/2013 23:44,10/2/2013 23:52,1,487,1.8,-73.996971,40.691456,-73.978447,40.675602
6A5448046144A695A0027ADE29F25945,8C00B904D288C0EC37F3969C493F9810,CMT,1,N,10/2/2013 21:47,10/2/2013 22:28,4,2467,9.7,-73.977371,40.751877,-73.937149,40.684803
2787552EA085BB6B254E24C626AA2160,095A4C5DF7C5B5F627317EF75F7C9EBA,CMT,1,N,10/5/2013 1:29,10/5/2013 1:33,1,274,0.8,-73.97226,40.750019,-73.985199,40.752781
2787552EA085BB6B254E24C626AA2160,095A4C5DF7C5B5F627317EF75F7C9EBA,CMT,1,N,10/4/2013 23:37,10/4/2013 23:48,1,638,3.3,-73.983055,40.744431,-73.938606,40.749439
6A5448046144A695A0027ADE29F25945,8C00B904D288C0EC37F3969C493F9810,CMT,1,N,10/3/2013 0:46,10/3/2013 0:51,4,274,0.8,-73.983467,40.754681,-73.973618,40.74789
6A5448046144A695A0027ADE29F25945,8C00B904D288C0EC37F3969C493F9810,CMT,1,N,10/2/2013 22:46,10/2/2013 23:17,4,1866,8.3,-73.93383,40.70483,-73.993172,40.698055
26B6F177F005153BC40E8349234C282E,CE41954C00C60810596D4C38539559CC,CMT,1,N,10/4/2013 18:47,10/4/2013 18:56,1,517,1.1,-73.977905,40.773808,-73.963547,40.765179
2BB6F5173D051BE1F493B980D6178976,55695D5B1BC32F0CB1B3F7D6DDDF1EDF,CMT,1,N,10/2/2013 22:22,10/2/2013 22:24,1,101,0.6,-73.963242,40.799007,-73.969055,40.790806
8F51E58C5A7FC1C4832351E3158F9123,28C2690979A91989E0B179B44A48EB7C,CMT,1,N,10/3/2013 9:37,10/3/2013 9:59,1,1310,5.9,-73.95134,40.770222,-74.006973,40.729267
8F51E58C5A7FC1C4832351E3158F9123,28C2690979A91989E0B179B44A48EB7C,CMT,1,N,10/3/2013 14:32,10/3/2013 14:42,1,600,0.6,-73.961266,40.771873,-73.967377,40.766239
6DFB708A2122478F136B3227E18930B5,8992ECFE72103DD0DC2165D9E3CF8DFC,CMT,1,N,10/2/2013 20:48,10/2/2013 21:09,1,1259,7.9,-73.989944,40.747284,-73.876045,40.738022
6817DAB7FE402A830E3A095CC9429AD8,A14E93069747B759208DDAED8C3E85E6,CMT,1,N,10/3/2013 20:56,10/3/2013 21:23,1,1593,13.3,-73.955849,40.764149,-74.034454,40.635288
6817DAB7FE402A830E3A095CC9429AD8,A14E93069747B759208DDAED8C3E85E6,CMT,1,Y,10/3/2013 17:36,10/3/2013 17:58,1,1281,1.9,-73.968811,40.763832,-73.979134,40.740417
F47BA1952CC3C607BEC69E0208CD1ADE,8477CD3EFEEE081517015FB7B16EBE20,CMT,1,Y,10/6/2013 18:47,10/6/2013 19:26,2,2348,14.6,-73.863228,40.769974,-73.96524,40.673267
6817DAB7FE402A830E3A095CC9429AD8,A14E93069747B759208DDAED8C3E85E6,CMT,2,N,10/3/2013 22:11,10/3/2013 22:44,2,2016,19,-73.782379,40.644577,-73.990273,40.733513
6817DAB7FE402A830E3A095CC9429AD8,A14E93069747B759208DDAED8C3E85E6,CMT,1,Y,10/3/2013 19:02,10/3/2013 19:08,2,349,0.9,-73.994019,40.726563,-73.999802,40.732925
98295C0F915873F4A862715DFE3FF585,77D48BD865D15E771C0728DA21552745,CMT,1,N,10/2/2013 23:42,10/2/2013 23:46,1,186,0.9,-73.95446,40.774059,-73.958916,40.763195
8EBD3D388C20F645C13EAC088DD579BB,92AED53A6F8B5FABA2EBCEC728099C12,CMT,1,N,10/2/2013 16:13,10/2/2013 16:45,2,1964,4.4,-73.995422,40.717159,-73.963585,40.774445
636BBB89AB974600AC0EAB8660DEF3A5,BFF0F485B4F3476FF8004B919F014C41,CMT,1,N,10/3/2013 19:08,10/3/2013 19:12,1,209,0.5,-73.94693,40.776409,-73.955597,40.779469
636BBB89AB974600AC0EAB8660DEF3A5,BFF0F485B4F3476FF8004B919F014C41,CMT,1,N,10/3/2013 19:33,10/3/2013 19:37,1,212,0.8,-73.95446,40.769772,-73.955009,40.779263
13804C3B9932CF05FE17F7BBAC2BC4E7,20984D31722ACD7E01C30CADD0521952,CMT,1,N,10/3/2013 21:43,10/3/2013 21:49,1,365,0.9,-73.964584,40.760479,-73.973381,40.748337
06EAD4C8D98202F1E2D7057F2899CFE5,6EE7BDC9FC2B9616FAC2BE9A078F3479,CMT,1,N,10/3/2013 18:08,10/3/2013 18:24,2,930,2.7,-73.956429,40.763187,-73.981659,40.783871
27E0AF6FC97EAF38084C80C84B67E052,9588C4001FCEDDBB2530985C2C4E59E8,CMT,1,N,10/3/2013 19:21,10/3/2013 19:34,1,804,2.8,-73.968575,40.801727,-73.954048,40.775333
2787552EA085BB6B254E24C626AA2160,095A4C5DF7C5B5F627317EF75F7C9EBA,CMT,1,N,10/4/2013 21:28,10/4/2013 21:43,1,951,2.8,-73.984856,40.728298,-74.012856,40.702351
37E1F5BD15A35A1652745C88604FC19E,4606384EA9F41F9BC76AA34B44FB5AAB,CMT,1,N,10/3/2013 10:30,10/3/2013 10:58,1,1682,3,-73.998474,40.732216,-73.970062,40.761414
90C0771FE30F703616B3A31414470E18,8D466661814D45936D897907D4B4C602,CMT,1,N,10/3/2013 17:38,10/3/2013 17:58,1,1199,2.4,-73.990005,40.733116,-73.991997,40.758739
E596CEA13D30FAD5BCB6446D75C61FC9,11FF064CD0DB1532BB0454F8C30C5567,CMT,1,N,10/5/2013 2:37,10/5/2013 2:46,2,501,2.3,-74.000847,40.730709,-73.985191,40.759232
02B072BC2EE4ECC6960A29B645B3B448,6160966A0E9101E2ECFB4E6AE0FF3182,CMT,1,N,10/4/2013 17:44,10/4/2013 17:50,1,381,0.8,-79.814926,33.649559,-79.814926,33.649559
CF8F1147A7626B0624D2E032E52F61C9,33ABE2CFD4D03D93CCF5E34A0AF079B2,CMT,1,N,10/3/2013 8:42,10/3/2013 9:43,1,3641,13.9,-73.865517,40.770363,-73.995773,40.764458
4189F914006587B29C9822074FBD6AAE,9C98405D707D0F298AE7CDC51AE57AF1,CMT,1,N,10/1/2013 22:05,10/1/2013 22:32,1,1571,11.3,-73.975067,40.755222,-73.909538,40.887115
12DB9C4237F50D77F4D529C308E404DE,79E24A2DF8B0694BD6FC782F174746FD,CMT,1,N,10/4/2013 21:33,10/4/2013 21:41,1,535,1.8,-73.978165,40.763241,-73.955894,40.772705
56EC8E3AA6218867A1341249F26531F3,DD72E3EE33F0CEDB5F068218010CC62A,CMT,1,N,10/4/2013 7:32,10/4/2013 7:39,1,427,1.9,-73.987991,40.732002,-73.97554,40.755062
DA7420809B52BACAE855915711BC7F2F,D2B8B5D2F3FD470DAD69EC7A5205388A,CMT,1,N,10/3/2013 9:50,10/3/2013 10:08,1,1092,2.4,-73.986984,40.739491,-73.988441,40.740269
F47BA1952CC3C607BEC69E0208CD1ADE,8477CD3EFEEE081517015FB7B16EBE20,CMT,1,N,10/6/2013 23:46,10/7/2013 0:08,1,1349,10.6,-73.87059,40.773586,-73.991447,40.737446
7F79B94152FAD96D2CAFB69E399A3E6A,C6DCA7E735E5BB20F6A390FB8FA221EA,CMT,1,N,10/3/2013 21:10,10/3/2013 21:17,1,380,1.5,-73.967567,40.756336,-73.976418,40.739902
693258BB6AE8D76A83FC045FD7ECA76A,EBD0AD2945D84BD3BEF708DE3F209320,CMT,1,N,10/5/2013 4:08,10/5/2013 4:21,2,762,5.8,-73.950645,40.826385,-73.993484,40.758591
98295C0F915873F4A862715DFE3FF585,77D48BD865D15E771C0728DA21552745,CMT,1,N,10/3/2013 2:40,10/3/2013 2:46,1,363,1.9,-73.976189,40.752586,-73.978745,40.779064
1957C320398402AD3EAFA9689130DF32,A1B20AA208FAAF5CDE77C4439DA3EBC3,CMT,2,N,10/3/2013 14:33,10/3/2013 15:30,3,3436,22.4,-74.001328,40.756607,-73.783043,40.646469
8EBD3D388C20F645C13EAC088DD579BB,92AED53A6F8B5FABA2EBCEC728099C12,CMT,1,N,10/2/2013 17:46,10/2/2013 17:53,1,390,1.2,-73.996063,40.735394,-73.99752,40.745014
1957C320398402AD3EAFA9689130DF32,A1B20AA208FAAF5CDE77C4439DA3EBC3,CMT,1,N,10/3/2013 8:46,10/3/2013 9:01,1,916,2.3,-74.014275,40.716694,-73.991142,40.733139
4EE5DD12D3F50C7E31FCAAAEA51B530E,2486EA93AD1B5D77D8740D87718CCD3D,CMT,1,N,10/2/2013 17:16,10/2/2013 17:20,1,239,0.5,-73.956406,40.778008,-73.948311,40.774574
BA9A44E7C08BC64EB007B6DA556B14AC,265A0A063185253ECD9C74AA9750D690,CMT,1,N,10/2/2013 19:36,10/2/2013 19:58,2,1355,4.1,-73.953262,40.786938,-73.987686,40.739906
4A5EB7776D172F5F85B6F344C806DA90,6C1DE2001261F0C23B97BF46A92B3569,CMT,1,N,10/5/2013 4:41,10/5/2013 4:42,1,94,0.7,-73.960014,40.770626,-73.953407,40.779999
3A309945378AB13433418C4BF444E951,1076E169D6DBDDF658B96EC5D01A7801,CMT,1,N,10/3/2013 20:29,10/3/2013 20:33,1,251,1.8,-73.980835,40.733715,-73.96804,40.755409
B36D7AB5B422EA1A0588EFD1D8155EF3,669F420B42A0739A5D1058184AD227ED,CMT,1,N,10/3/2013 10:24,10/3/2013 10:38,1,815,1,-73.981094,40.774307,-73.978447,40.761101
636BBB89AB974600AC0EAB8660DEF3A5,BFF0F485B4F3476FF8004B919F014C41,CMT,1,N,10/3/2013 20:30,10/3/2013 20:43,1,831,3.6,-73.941109,40.814014,-73.9804,40.782391
34E35AAE6E2632681D94D75376F4B77A,5F20323999D10FE1289CF5086996E7BA,CMT,1,N,10/1/2013 18:13,10/1/2013 18:19,1,375,0.9,-73.981979,40.769035,-73.982147,40.780952
486BEA0045A5062C2A23E631CAD24060,B3C4117015D7C7BDA3E99BE454DFAA36,CMT,1,N,10/4/2013 7:01,10/4/2013 7:15,1,853,3.5,-73.966553,40.78915,-73.983421,40.746185
740BD5BE61840BE4FE3905CC3EBE3E7E,E48B185060FB0FF49BE6DA43E69E624B,CMT,1,N,10/1/2013 13:45,10/1/2013 14:07,1,1272,2.5,-73.975067,40.790249,-73.974586,40.759808
2BB6F5173D051BE1F493B980D6178976,55695D5B1BC32F0CB1B3F7D6DDDF1EDF,CMT,1,N,10/2/2013 19:15,10/2/2013 19:33,1,1044,3.2,-74.005058,40.7197,-73.97715,40.758987
27E0AF6FC97EAF38084C80C84B67E052,9588C4001FCEDDBB2530985C2C4E59E8,CMT,1,N,10/3/2013 17:42,10/3/2013 17:46,1,238,1.1,-74.002663,40.728672,-73.999748,40.741402
2D93956A60CB481952D8B116C78776EF,301691461C52CE86438824BD63C05243,CMT,1,N,10/4/2013 1:55,10/4/2013 2:02,1,418,1.2,-73.99395,40.727371,-73.985924,40.737484
90C0771FE30F703616B3A31414470E18,8D466661814D45936D897907D4B4C602,CMT,1,N,10/3/2013 21:25,10/3/2013 21:38,1,733,2.1,-73.954979,40.765068,-73.97728,40.779263
37E1F5BD15A35A1652745C88604FC19E,4606384EA9F41F9BC76AA34B44FB5AAB,CMT,1,N,10/3/2013 6:30,10/3/2013 6:32,1,118,0.6,-73.990181,40.756763,-73.983513,40.761196
2D93956A60CB481952D8B116C78776EF,301691461C52CE86438824BD63C05243,CMT,1,N,10/4/2013 3:03,10/4/2013 3:07,1,243,0.6,-73.995132,40.744778,-73.9907,40.739597
2D93956A60CB481952D8B116C78776EF,301691461C52CE86438824BD63C05243,CMT,2,N,10/4/2013 0:23,10/4/2013 0:48,1,1480,18,-73.785866,40.647858,-73.953316,40.807327
693258BB6AE8D76A83FC045FD7ECA76A,EBD0AD2945D84BD3BEF708DE3F209320,CMT,1,N,10/5/2013 2:41,10/5/2013 2:59,2,1041,6,-73.986542,40.733021,-73.943703,40.807041
693258BB6AE8D76A83FC045FD7ECA76A,EBD0AD2945D84BD3BEF708DE3F209320,CMT,1,N,10/5/2013 6:37,10/5/2013 6:57,2,1212,11.9,-73.985847,40.757774,-73.861679,40.768341
8F51E58C5A7FC1C4832351E3158F9123,28C2690979A91989E0B179B44A48EB7C,CMT,1,N,10/3/2013 8:48,10/3/2013 9:16,1,1664,3.8,-73.981674,40.728527,-73.950043,40.771759
DA7420809B52BACAE855915711BC7F2F,D2B8B5D2F3FD470DAD69EC7A5205388A,CMT,1,N,10/3/2013 8:45,10/3/2013 9:12,1,1616,4.2,-74.006973,40.704033,-73.987228,40.742268
F47BA1952CC3C607BEC69E0208CD1ADE,8477CD3EFEEE081517015FB7B16EBE20,CMT,1,N,10/6/2013 21:28,10/6/2013 21:36,1,458,2.8,-74.002045,40.750561,-73.975647,40.785854
C8F0412FDDFA6DFDB2B20448C9A4BD9A,1499F83806F88931253193DEBAAA4F3E,CMT,1,N,10/4/2013 1:24,10/4/2013 1:40,1,998,9.5,-73.983665,40.738125,-73.931419,40.850773
C8F0412FDDFA6DFDB2B20448C9A4BD9A,1499F83806F88931253193DEBAAA4F3E,CMT,1,N,10/3/2013 16:57,10/3/2013 17:01,1,216,0.6,-73.966972,40.764721,-73.964973,40.772614
6817DAB7FE402A830E3A095CC9429AD8,A14E93069747B759208DDAED8C3E85E6,CMT,1,N,10/3/2013 18:39,10/3/2013 18:58,3,1187,1.9,-73.972824,40.749249,-73.993439,40.729416
13804C3B9932CF05FE17F7BBAC2BC4E7,20984D31722ACD7E01C30CADD0521952,CMT,1,N,10/3/2013 21:06,10/3/2013 21:24,1,1078,3.6,-73.993629,40.72086,-73.962189,40.765289
6817DAB7FE402A830E3A095CC9429AD8,A14E93069747B759208DDAED8C3E85E6,CMT,1,N,10/3/2013 16:57,10/3/2013 17:13,1,966,7.5,-73.872925,40.774139,-73.949448,40.780884
472B37C89278EE64C32722ECF5001D51,6BB861259C22CD5E6BF9F19E167F5218,CMT,1,N,10/4/2013 21:53,10/4/2013 21:57,2,212,0.6,-73.990189,40.74651,-74.001129,40.751289
1957C320398402AD3EAFA9689130DF32,A1B20AA208FAAF5CDE77C4439DA3EBC3,CMT,1,N,10/3/2013 7:02,10/3/2013 7:13,1,694,4,-73.982666,40.756042,-74.014305,40.713921
7D84C0EF9970B0A0EB736B5A077E109E,3A2DAB191DEB336C5D597FA4A89B0877,CMT,1,N,10/4/2013 20:09,10/4/2013 20:23,1,882,2.6,-73.988541,40.770119,-73.992958,40.745338
7D84C0EF9970B0A0EB736B5A077E109E,3A2DAB191DEB336C5D597FA4A89B0877,CMT,1,N,10/4/2013 21:47,10/4/2013 21:59,1,743,4,-73.97097,40.75555,-73.96035,40.80064
4A5EB7776D172F5F85B6F344C806DA90,6C1DE2001261F0C23B97BF46A92B3569,CMT,1,N,10/4/2013 19:57,10/4/2013 20:36,2,2311,9.8,-73.987495,40.762711,-73.958115,40.670296
0509E1F73EE41E40373D460E8CD13D8E,632926B2635C74550A77EDFE4576C346,CMT,1,N,10/3/2013 6:38,10/3/2013 6:45,1,382,1.5,-73.955215,40.773418,-73.978668,40.783264
636BBB89AB974600AC0EAB8660DEF3A5,BFF0F485B4F3476FF8004B919F014C41,CMT,1,N,10/4/2013 0:07,10/4/2013 0:15,1,469,1.3,-74.004288,40.730373,-73.996437,40.742893
EEBCDC24D2687361329744400D78FE14,9D54E3342ECB49A566F076D3DD59323E,CMT,1,N,10/3/2013 21:35,10/3/2013 21:53,1,1093,2.7,-74.005127,40.719116,-73.976685,40.745239
BDB380921DB04B68C008F53D6523D338,D578DFF3AF001E1DBE58B2495FFD27A5,CMT,1,N,10/2/2013 21:29,10/2/2013 21:45,1,990,2.7,-73.985718,40.762791,-73.950523,40.771412
37E1F5BD15A35A1652745C88604FC19E,4606384EA9F41F9BC76AA34B44FB5AAB,CMT,1,N,10/3/2013 12:16,10/3/2013 12:27,1,645,1.3,-73.999199,40.734032,-74.003738,40.722466
8589C2A159CF61039C01B37BFB303D4A,2AB9D849FDF225931EA1C1F734EC80D7,CMT,1,N,10/4/2013 22:19,10/4/2013 22:27,1,504,1.8,-73.997154,40.721359,-74.014893,40.716808
E596CEA13D30FAD5BCB6446D75C61FC9,11FF064CD0DB1532BB0454F8C30C5567,CMT,1,N,10/4/2013 19:45,10/4/2013 19:48,1,195,0.4,-74.001778,40.734417,-73.993736,40.734219
02B072BC2EE4ECC6960A29B645B3B448,6160966A0E9101E2ECFB4E6AE0FF3182,CMT,1,N,10/5/2013 2:43,10/5/2013 2:53,1,578,2.5,-73.964424,40.712528,-73.989182,40.72533
37E1F5BD15A35A1652745C88604FC19E,4606384EA9F41F9BC76AA34B44FB5AAB,CMT,1,N,10/3/2013 13:23,10/3/2013 13:26,1,173,0.3,-73.951485,40.790966,-73.947479,40.79068
2D93956A60CB481952D8B116C78776EF,301691461C52CE86438824BD63C05243,CMT,1,N,10/4/2013 2:23,10/4/2013 2:27,1,258,1.2,-73.991653,40.726536,-73.980438,40.742432
56EC8E3AA6218867A1341249F26531F3,DD72E3EE33F0CEDB5F068218010CC62A,CMT,1,N,10/4/2013 16:34,10/4/2013 16:42,1,481,1,-73.990936,40.734573,-73.997505,40.722649
150A256F12EA233E8885B9DC6C37F96D,CC59AC59FFEA1E232CA2EAC1099AE424,CMT,1,N,10/3/2013 19:53,10/3/2013 20:13,1,1207,2.3,-73.962967,40.768856,-73.986526,40.75312
56EC8E3AA6218867A1341249F26531F3,DD72E3EE33F0CEDB5F068218010CC62A,CMT,1,N,10/4/2013 14:49,10/4/2013 15:14,1,1470,6,-74.012794,40.714149,-73.980598,40.746799
919336DB466E36F2F13B34A8879F0F68,CA7999174E931914A826939208222DA5,CMT,1,N,10/3/2013 23:48,10/3/2013 23:55,1,432,2.2,-73.949585,40.714027,-73.921661,40.707451
C8F0412FDDFA6DFDB2B20448C9A4BD9A,1499F83806F88931253193DEBAAA4F3E,CMT,1,N,10/3/2013 19:35,10/3/2013 20:04,1,1695,8.1,-73.975235,40.752125,-73.981743,40.673794
F47BA1952CC3C607BEC69E0208CD1ADE,8477CD3EFEEE081517015FB7B16EBE20,CMT,1,N,10/6/2013 16:18,10/6/2013 16:37,1,1186,3.9,-73.864189,40.770611,-73.91568,40.7491
7F79B94152FAD96D2CAFB69E399A3E6A,C6DCA7E735E5BB20F6A390FB8FA221EA,CMT,1,N,10/3/2013 17:07,10/3/2013 17:21,1,855,0.9,-73.987198,40.760262,-73.976402,40.754002
693258BB6AE8D76A83FC045FD7ECA76A,EBD0AD2945D84BD3BEF708DE3F209320,CMT,1,N,10/5/2013 5:17,10/5/2013 5:22,1,271,0.8,-74.005348,40.740253,-74.008652,40.731098
13804C3B9932CF05FE17F7BBAC2BC4E7,20984D31722ACD7E01C30CADD0521952,CMT,1,N,10/3/2013 19:33,10/3/2013 19:47,1,823,2.3,-73.971169,40.759666,-73.947884,40.778893
1957C320398402AD3EAFA9689130DF32,A1B20AA208FAAF5CDE77C4439DA3EBC3,CMT,1,N,10/3/2013 9:10,10/3/2013 9:28,1,1041,3.1,-73.984116,40.730152,-73.969299,40.766045
472B37C89278EE64C32722ECF5001D51,6BB861259C22CD5E6BF9F19E167F5218,CMT,1,N,10/4/2013 22:21,10/4/2013 22:32,1,640,1.3,-73.99147,40.727245,-74.00531,40.740051
1957C320398402AD3EAFA9689130DF32,A1B20AA208FAAF5CDE77C4439DA3EBC3,CMT,1,N,10/3/2013 6:28,10/3/2013 6:33,1,339,1.1,-74.001976,40.735031,-73.987915,40.741028
BA9A44E7C08BC64EB007B6DA556B14AC,265A0A063185253ECD9C74AA9750D690,CMT,1,N,10/2/2013 19:00,10/2/2013 19:08,1,481,1.4,-74.005432,40.748276,-74.000412,40.734673
3A309945378AB13433418C4BF444E951,1076E169D6DBDDF658B96EC5D01A7801,CMT,1,N,10/3/2013 23:52,10/4/2013 0:13,1,1303,5.7,-73.97686,40.754032,-73.946068,40.715061
636BBB89AB974600AC0EAB8660DEF3A5,BFF0F485B4F3476FF8004B919F014C41,CMT,1,N,10/3/2013 20:05,10/3/2013 20:29,1,1405,9.6,-74.002861,40.723255,-73.941055,40.814068
636BBB89AB974600AC0EAB8660DEF3A5,BFF0F485B4F3476FF8004B919F014C41,CMT,1,N,10/3/2013 19:17,10/3/2013 19:21,2,251,1.4,-73.955734,40.77634,-73.941528,40.793625
EEBCDC24D2687361329744400D78FE14,9D54E3342ECB49A566F076D3DD59323E,CMT,1,N,10/4/2013 0:53,10/4/2013 1:03,1,629,2.6,-73.990402,40.757412,-73.99218,40.731239
33D7015731B84A9D128A6D1672AF7E27,452344EFB7B63DC032E1AF230B113401,CMT,1,N,10/3/2013 23:15,10/3/2013 23:21,1,359,1.4,-73.974388,40.783443,-73.956238,40.781086
20CA42EE17A06E9A6AFB3390456747A4,1BC4AE09D9AF4246FFC278C3FE107036,CMT,1,N,10/4/2013 13:46,10/4/2013 14:04,1,1109,1.8,-73.994522,40.740555,-73.979805,40.764526
